talemaade_udtryk	A	B	C	D
man skal ikke flyve højere end vingerne kan bære	man skal ikke styre sit fly højere op end hvad vingerne er i stand til at bære	det betaler sig ikke at snyde	sætte nogen i en situation hvor vedkommende meget utålmodigt er nødt til at vente på noget, fx at få vished eller få indfriet sine forventninger	man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme
slag på tasken	et slag på en taske	den ydre fremtoning af skønhed og storhed forsvinder	indholdsløs snak; samtale uden vigtigt indhold	omtrentlig beregning af nogets størrelse, omfang eller antal
gnide salt i såret	først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør	forøge smerten og pinen, ofte den psykiske	behandle en skade med tvivlsomme lægemidler	gnubbe salt i et åbent sår
logik for burhøns	noget der ikke kan misforstås	selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af	noget som høns der opdrættes tæt sammen, er i stand til at indlære	noget der er yderst let at forstå
køre på skinner	drive ned af vinduet i striber (om regn)	fungere tilfredsstillende, uden problemer eller med stor succes	bruges for at udtrykke at noget er usammenhængende eller mangler idé og struktur	køre på skinner (og ikke på fx en vej)
hånd i hanke med	være stærkt optaget af at se fjernsyn	kontrol med; styr på	bruges for at udtrykke at nogen holder godt fast i noget; fast greb om	hånden i et greb om et par hanke
helt ind i knoglerne	den overdrevne tilbedelse af eller stræben efter rigdom	bruges for at udtrykke at noget sanses eller mærkes meget intenst i kroppen	bruges for at udtrykke at noget er til stede i stor mængde et bestemt sted	også til stede i en persons knogler
det er ikke studenterhuen der trykker	ikke have den mindste chance for noget	studenterhuen har den korrekte størrelse og derfor passer fint hele vejen rundt om hovedet	bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet	bruges som spøgende kommentar til en person der ikke påbegynder en gymnasial uddannelse direkte efter folkeskolens afslutning
hvile på laurbærrene	være beskæftiget med mange ting samtidig	gå glad i seng fordi man har fået meget ros i løbet af dagen	stille sig tilfreds med de resultater man har opnået, og opgive videre stræben (indtil videre)	lave mad uden at følge en opskrift
komme ind fra gaden	udføre til et uanmeldt kontrolbesøg	gøre sig store anstrengelser (for at opnå noget bestemt)	pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring	komme ind i et hus ad en gadedør
støde panden mod en mur	møde uoverstigelige vanskeligheder eller massiv modstand	rive en eller flere vægge ned i forbindelse med ombygning	ramme en mur med hovedet først	have at gøre med; handle eller arbejde sammen med; konkurrere med
når det regner på præsten, drypper det på degnen	ubehagelige situationer berører oftest flere mennesker på én gang	lade nogen høre for noget; kritisere nogen for noget	en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode	regnvejr rammer typisk større geografiske områder samtidigt
være livet om at gøre	være så vigtigt at man risikerer at miste livet hvis man ikke gør det	forsvind; gå hjem, for der er ikke brug for dig	være meget vigtigt; gælde livet	være det vigtigste i nogens liv
goddag mand, økseskaft	skrive (skøn)litterære tekster, men uden at have til hensigt at få dem udgivet	bruges for at udtrykke frustration	en mand med en økse i hånden siger goddag	bruges for at udtrykke at det nogen svarer, ikke har noget med spørgsmålet at gøre og således ikke giver nogen mening
dråben der får bægeret til at flyde over	det der virker som den udløsende kraft; det der får tålmodigheden til at briste	noget der udløser stor glæde og optimisme	den ekstra dråbe der gør at den samlede mængde væske netop ikke kan være i beholderen	en let og sorgløs tilværelse, aktivitet, opgave eller lignende
have en høne at plukke med nogen	have noget at bebrejde en person der har gjort noget som har vakt éns utilfredshed eller vrede	have et stykke fjerkræ som man gerne vil tilberede sammen med nogen	vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig	føle romantisk tiltrækning til et andet menneske
gå i nogens fodspor	efterligne nogen, fx i forhold til udtalelse og påklædning	(atter) finde sammen i indbyrdes harmoni; (gen)finde indre glæde, ro, selvtillid eller lignende	følge nogens eksempel; føre en tradition videre efter nogen	bevæge sig lige bag efter nogen i samme bevægelsesretning
den der kommer først til mølle, får først malet	folk bliver betjent i den rækkefølge de henvender sig	for størstedelens vedkommende; næsten helt	man får malet sit korn efter tur	det kan betale sig at være i god tid
komme ind med firetoget	ankomme med et tog klokken 16	så hurtigt eller kraftfuldt som muligt	ankomme i (alt for) god tid til en middag eller et aftenarrangement	komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv
ikke kunne se skoven for bare træer	ikke være i stand til at vurdere om en samling træer udgør en skov	være mere interesseret i proces end i resultat	være så optaget af enkeltdele og detaljer at man ikke kan se helheden	hvis man går og gemmer på sine værdier eller lignende til fremtiden, er der risiko for at man aldrig får gavn af dem
sætte ulven til at vogte får	overlade behandlingen af en sag til nogen der selv har en åbenlys interesse i et bestemt udfald	træne en til formålet indfanget ulv til at passe en bestand af fjerkræ	more sig på en underfundig eller skadefro måde	udvise tillid til nogen der ikke har fortjent det
når skidt kommer til ære, ved det ikke hvordan det skal være	være suveræn til noget; brillere	når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst	bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis	man skal ikke pynte noget dårligt og forsøge at få det til at fremstå som noget godt
i mørke er alle katte grå	det er lettere at blive trist til mode i vinterhalvåret	den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym	kunne noget andet og mere end man umiddelbart skulle forvente	i mørke fremstår katte grå, uanset hvilken farve de måtte have
være sulten som en ulv	have lyst til at spise kød selvom man er vegetar	være lige så sulten som en ulv	en illusion brister; noget går galt	være meget sulten
arbejde sin røv i laser	bruges om en situation der er præget af uro og bekymring	være urimelig dyr	arbejde særdeles meget	arbejde så meget at man får ondt i kroppen
ikke få et ben til jorden	ufortrødent og energisk gå i gang med en (svær) opgave	ikke få mindste mulighed for at klare sig	tabe på uretfærdig vis	ikke have mulighed for at røre jorden med sit ben
skrive til skrivebordsskuffen	skrive (skøn)litterære tekster, men uden at have til hensigt at få dem udgivet	skrive et brev uden at sende det	skriveøvelse hvor man lader en tekst ligge urørt i et stykke tid inden man tager den op igen	bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det
toppen af kransekagen	man kan blive udødeliggjort gennem kunsten	flad landstrækning på toppen af et bjerg; bjergplateau	den øverste del af en kransekage (med pynt)	det bedste eller de dygtigste inden for et bestemt område
det glatte lag	den bedste eller mest oplagte løsning på et problem	høre et rygte om noget	et lag med en glat overflade	sønderlemmende kritik; voldsomt verbalt angreb
gå i spagat over noget	være præget af en overdrevet trang til at udføre opgaver til perfektion	vise sin begejstring for noget ved at gå i spagat	blive stærkt følelsesmæssigt påvirket af noget	kontrol med; styr på
hellere se éns hæl end éns tå	hellere løbe end gå	hellere se én gå end komme eller blive; helst være fri for éns selskab	bedre kunne lide at se nogens hæl end nogens tå	holde op mens man stadig har succes, inden det går galt
fryse til is	nedkøle vand til is	slå nogen (på siden af hovedet)	bruges som udtryk for at man bliver overvældet af rædsel eller lignende	sætte på pause
hvad forstår bønder sig på agurkesalat	bruges for at påpege (eller undskylde) manglende viden om eller forståelse af et emne	sommetider må man prøve sig frem	bønder ved ikke noget om retten agurkesalat	se bort fra noget; lade som om noget ikke er sket
skæg for sig og snot for sig	få nogen til at gøre eller sige noget som vedkommende har været tilbageholdende med	man bør holde ting der ikke hører sammen, adskilt	skæg og snot hører til to forskellige steder	der er en tid til at more sig og en tid til at arbejde
mennesket lever ikke af brød alene	mennesket har for at leve (lykkeligt) ikke bare brug for mad, men også for oplevelser af mere åndelig karakter	de fleste mennesker har behov for et sexliv	brød kan ikke alene udgøre en tilstrækkelig kost for mennesker	ikke blive forstået af nogen
gå bananas	blive begejstret, vred eller skør	(i en periode) være meget optaget af at lave smoothies, grøn grød og lignende	træde på en banan eller bananskræl	skulle have noget forklaret på en langsom og udførlig måde (fordi man er langsomt opfattende)
penge lugter ikke	pengesedler og mønter har ingen lugt	fornærme eller krænke nogen	penge er blottet for menneskelige kvaliteter	penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent
hive sig selv op ved håret	holde fast i ens hår og trække opad	gøre en kraftanstrengelse og redde sig ud af en ubehagelig situation	nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum	blive skør af at arbejde eller udføre en specifik opgave
sidde med hænderne i skødet	være inaktiv; være afventende og passiv	dyrke yoga og evt. samtidig meditation	lade noget flyde frit og voldsomt; give frit løb for noget	sidde med hænderne placeret på lårene
komme ind under huden	gøre dybt indtryk; fylde éns bevidsthed helt	placere sig under nogens øverste hudlag	ikke ville yde mere af noget	blive fuldstændig gennemblødt
tabe på gulvet	tabe en genstand på gulvet	ødelægge eller forspilde nogens chancer eller muligheder for noget	miste data pga. manglende sikkerhedsopdatering	internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart
få noget med på vejen	få noget fortalt af andre som man evt. kan bruge fremover	tage sig sammen og undertrykke sine egentlige følelser for at klare en vanskelig situation	have madpakke med på en rejse	få noget med når man tager afsted
slå knuder på sig selv	man bør ikke overdrive eller gå til yderligheder	gøre sig store anstrengelser (for at opnå noget bestemt)	placere sine legemsdele så de krydser ind over hinanden	dyrke yoga, pilates eller lignende
vifte nogen om næsen med noget	det går udmærket an at være lille af vækst når man blot er kvik og energisk	vifte med noget foran nogens næse	bruge noget som lokkemad over for nogen; stille nogen noget i udsigt	bruge lang tid på at lave mad til andre menneskers glæde
